features,classifier,bal_acc,std,auc
std_only,RF,0.6675518341307815,0.19621671871916213,0.481638418079096
std_only,SVM_RBF,0.6179163818637503,0.11469599113802464,0.5237288135593221
mean_std,RF,0.5927044884939622,0.19870704570003195,0.47895480225988696
mean_std,LR,0.5870950102529049,0.23978047577261447,0.4497175141242938
std_only,LR,0.5819024834814308,0.229463334067879,0.5398305084745763
std_only,SVM_lin,0.5736887673729779,0.23318542038138707,0.4987288135593221
mean_std,SVM_lin,0.5711540214171793,0.24443718891359922,0.44378531073446326
mean_only,SVM_lin,0.547639553429027,0.17653520493850655,0.4018361581920904
mean_std,SVM_RBF,0.5359261790840739,0.12714814687582213,0.4588983050847457
mean_only,LR,0.531593757120073,0.17450281552154281,0.37768361581920906
mean_only,RF,0.46154704944178626,0.1102340181194938,0.3721751412429379
mean_only,SVM_RBF,0.4500250626566416,0.14586434729401399,0.39237288135593223
